community_id,title,entities,evidence_strength,representative_docs,summary,open_questions
C001,地震早期预警,MyShake地震预警案例;日本能登半岛地震;ShakeAlert地震预警案例;地震台网数据;地震;实时部署困难;机器学习;地震早期预警;震前监测感知;地震监测预警;地震早期预警,1.0,case_noto_earthquake: Japan Noto Peninsula earthquake 2024 case;paper_myshake_network: MyShake smartphone network for earthquake early warning;project_myshake: MyShake smartphone earthquake early warning;patent_myshake_warning: Smartphone earthquake early warning patent;patent_tw_earthquake_ai: Artificial intelligence earthquake monitoring patent,该社区围绕地震早期预警展开，主要关联地震。当前证据关系以SERVES_STAGE、VALIDATED_IN、APPLIES_TO、SOLVES为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C002,震后建筑损毁识别,土耳其叙利亚地震;建筑物足迹数据;地震;标注稀缺;CNN;震后损毁评估;建筑损毁评估;震后建筑损毁识别,1.0,case_turkiye_syria_earthquake: Turkiye Syria earthquake 2023 disaster case;paper_bddnet_damage: BDD-Net building damage detection from satellite imagery;patent_structural_damage_predictor: Structural damage predictor after earthquake;project_xview2_earthquake: xView2 style satellite damage assessment for earthquake response;report_fema_building_codes: Building codes save lives in earthquake damage reduction,该社区围绕震后建筑损毁识别展开，主要关联地震。当前证据关系以APPLIES_TO、SERVES_STAGE、SOLVES、DEPENDS_ON为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C003,遥感震损智能解译,日本能登半岛地震;遥感影像;地震;跨区域泛化不足;U-Net;震后损毁评估;建筑损毁评估;遥感震损智能解译,1.0,paper_transfer_learning_damage: Transfer learning for post earthquake damage assessment;paper_xbd_damage_assessment: xBD dataset for satellite building damage assessment;project_nasa_earthquake_response: NASA Disasters Program earthquake response products;report_gfdrr_ml_drm: Machine learning for earthquake risk management evidence review,该社区围绕遥感震损智能解译展开，主要关联地震。当前证据关系以APPLIES_TO、SERVES_STAGE、SOLVES、DEPENDS_ON为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C004,地震多模态灾情理解,阿富汗地震;众源文本;地震;数据偏差;Transformer;震前监测感知;灾情态势摘要;地震多模态灾情理解,0.754,case_afghanistan_earthquake_2023: Afghanistan earthquake 2023 disaster case;project_hot_osm_earthquake: Humanitarian mapping for earthquake response,该社区围绕地震多模态灾情理解展开，主要关联地震。当前证据关系以APPLIES_TO、SERVES_STAGE、SOLVES、DEPENDS_ON为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C005,地震应急辅助决策,海地地震;众源文本;地震;幻觉风险;LLM;强化学习;震后应急调度;证据链问答;地震应急辅助决策,1.0,report_gfdrr_responsible_ai: Responsible AI for earthquake emergency decision support;case_haiti_earthquake: Haiti earthquake recovery and damage assessment case;paper_ai_emergency_qa: Large language models for earthquake emergency knowledge assistance;patent_predictive_emergency_analytics: Predictive analytics for earthquake emergency response;policy_china_earthquake_plan: National earthquake emergency plan and response workflow,该社区围绕地震应急辅助决策展开，主要关联地震。当前证据关系以USES_MODEL、APPLIES_TO、SERVES_STAGE、SOLVES为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C006,震后救援调度优化,尼泊尔地震;生命线设施数据;地震;震后通信中断;强化学习;震后应急调度;震后资源调度;震后救援调度优化,1.0,case_nepal_earthquake_pdna: Nepal earthquake 2015 post disaster needs assessment;patent_disaster_recovery_prediction: Predictive earthquake recovery and resource planning system;policy_fema_nims: National Incident Management System for earthquake emergency coordination,该社区围绕震后救援调度优化展开，主要关联地震。当前证据关系以APPLIES_TO、SERVES_STAGE、SOLVES、DEPENDS_ON为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C007,生命线震损风险传播GNN,摩洛哥地震;生命线设施数据;地震;可解释性不足;GNN;强化学习;地震风险评估;生命线风险评估;生命线震损风险传播GNN,1.0,report_worldbank_lifelines: Lifelines resilient infrastructure opportunity for seismic shock;case_morocco_earthquake: Morocco earthquake 2023 disaster case;paper_lifeline_resilience: Lifeline infrastructure resilience after earthquake shocks;policy_china_14th_drr_plan: National disaster prevention and mitigation plan for earthquake governance;report_cdri_giri: Global infrastructure resilience evidence for earthquake lifelines,该社区围绕生命线震损风险传播GNN展开，主要关联地震。当前证据关系以USES_MODEL、APPLIES_TO、SERVES_STAGE、SOLVES为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C008,地震证据图谱GraphRAG,阿富汗地震;海地地震;摩洛哥地震;MyShake地震预警案例;尼泊尔地震;日本能登半岛地震;ShakeAlert地震预警案例;土耳其叙利亚地震;建筑物足迹数据;灾害事件数据库;生命线设施数据;遥感影像;地震台网数据;众源文本;地震;震后通信中断;数据偏差;实时部署困难;可解释性不足;跨区域泛化不足;幻觉风险;标注稀缺;CNN;GNN;LLM;LSTM;机器学习;强化学习;Transformer;U-Net;地震早期预警;震后损毁评估;震后应急调度;震前监测感知;地震风险评估;建筑损毁评估;地震监测预警;证据链问答;生命线风险评估;震后资源调度;震害风险预测;灾情态势摘要;地震证据图谱GraphRAG,1.0,case_noto_earthquake: Japan Noto Peninsula earthquake 2024 case;paper_myshake_network: MyShake smartphone network for earthquake early warning;project_myshake: MyShake smartphone earthquake early warning;case_turkiye_rdna: Turkiye earthquakes recovery and reconstruction assessment;patent_myshake_warning: Smartphone earthquake early warning patent,该社区围绕地震证据图谱GraphRAG展开，主要关联地震。当前证据关系以SERVES_STAGE、USES_MODEL、VALIDATED_IN、SOLVES为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C009,地震风险时空预测,日本能登半岛地震;地震台网数据;地震;跨区域泛化不足;LSTM;地震风险评估;震害风险预测;地震风险时空预测,1.0,paper_seismic_risk_prediction: Data driven earthquake risk prediction and rapid loss estimation;patent_earthquake_prediction_device: Earthquake prediction device and warning method;policy_us_mitigation_framework: National Mitigation Framework for seismic risk reduction;project_openquake: OpenQuake engine for seismic risk modelling;report_undrr_gar2025: Global risk reduction report interpreted for earthquake resilience,该社区围绕地震风险时空预测展开，主要关联地震。当前证据关系以APPLIES_TO、SERVES_STAGE、SOLVES、DEPENDS_ON为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
C010,震后灾情快速评估,土耳其叙利亚地震;遥感影像;地震;实时部署困难;Transformer;震后损毁评估;建筑损毁评估;灾情态势摘要;震后灾情快速评估,0.846,case_turkiye_rdna: Turkiye earthquakes recovery and reconstruction assessment;project_fema_hazus: Hazus earthquake loss estimation program,该社区围绕震后灾情快速评估展开，主要关联地震。当前证据关系以SOLVES、APPLIES_TO、SERVES_STAGE、DEPENDS_ON为主，适合进一步追踪关键技术、应用任务、数据依赖和验证案例。,需要由专家复核该社区是否构成稳定关键技术方向。
