entity_id,id,name,label,entity_type,type,aliases,description,doc_ids,chunk_ids,community_id,community,evidence_count,relation_count,review_status,score
EQ_DOC_001,EQ_DOC_001,原始来源核验机制,原始来源核验机制,Document,Document,EQ_DOC_001,地震专题语料文档：原始来源核验,EQ_DOC_001,,C07,C07,6,6,待复核,7.95
EQ_DOC_002,EQ_DOC_002,全球典型地震事件参数,全球典型地震事件参数,Document,Document,EQ_DOC_002,地震专题语料文档：地震事件参数核验,EQ_DOC_002,,C07,C07,12,12,待复核,12.56
EQ_DOC_003,EQ_DOC_003,ShakeMap与PAGER影响评估,ShakeMap与PAGER影响评估,Document,Document,EQ_DOC_003,地震专题语料文档：影响评估数据链,EQ_DOC_003,,C07,C07,22,22,待复核,13.14
EQ_DOC_004,EQ_DOC_004,灾后应急响应与人道需求,灾后应急响应与人道需求,Document,Document,EQ_DOC_004,地震专题语料文档：灾后应急响应,EQ_DOC_004,,C07,C07,10,10,待复核,12.4
EQ_DOC_005,EQ_DOC_005,遥感影像与建筑震损标签,遥感影像与建筑震损标签,Document,Document,EQ_DOC_005,地震专题语料文档：遥感震损识别,EQ_DOC_005,,C07,C07,8,8,待复核,10.2
EQ_DOC_006,EQ_DOC_006,暴露体与生命线韧性,暴露体与生命线韧性,Document,Document,EQ_DOC_006,地震专题语料文档：暴露体与生命线韧性,EQ_DOC_006,,C07,C07,5,5,待复核,6.79
EQ_DOC_007,EQ_DOC_007,分布式AI地震预警,分布式AI地震预警,Document,Document,EQ_DOC_007,地震专题语料文档：分布式AI地震预警,EQ_DOC_007,,C07,C07,15,15,待复核,12.77
EQ_DOC_008,EQ_DOC_008,工程损失评估系统,工程损失评估系统,Document,Document,EQ_DOC_008,地震专题语料文档：工程损失评估,EQ_DOC_008,,C07,C07,14,14,待复核,12.71
EQ_DOC_009,EQ_DOC_009,应急治理政策标准,应急治理政策标准,Document,Document,EQ_DOC_009,地震专题语料文档：应急治理政策标准,EQ_DOC_009,,C07,C07,10,10,待复核,12.4
EQ_DOC_010,EQ_DOC_010,本体与复核机制,本体与复核机制,Document,Document,EQ_DOC_010,地震专题语料文档：本体与复核机制,EQ_DOC_010,,C07,C07,15,15,待复核,12.77
hazard_eq_001,hazard_eq_001,地震,地震,DisasterType,DisasterType,地震灾害；震灾；Earthquake,本项目聚焦的主要灾害类型。,EQ_DOC_001；EQ_DOC_002；EQ_DOC_003；EQ_DOC_004；EQ_DOC_005；EQ_DOC_006；EQ_DOC_007；EQ_DOC_008；EQ_DOC_009；EQ_DOC_010,CHK_EQ_000001；CHK_EQ_000004；CHK_EQ_000005；CHK_EQ_000006；CHK_EQ_000007；CHK_EQ_000008；CHK_EQ_000009；CHK_EQ_000010；CHK_EQ_000011；CHK_EQ_000013；CHK_EQ_000014；CHK_EQ_000016；CHK_EQ_000017；CHK_EQ_000019；CHK_EQ_000020；CHK_EQ_000021；CHK_EQ_000022；CHK_EQ_000023；CHK_EQ_000024；CHK_EQ_000025,C00,C00,24,3,待复核,10.0
stage_eq_001,stage_eq_001,震前监测,震前监测,Scenario,Scenario,,Scenario：震前监测,,,C02,C02,0,0,待复核,0.0
stage_eq_002,stage_eq_002,震时预警,震时预警,Scenario,Scenario,,Scenario：震时预警,,,C02,C02,2,2,待复核,3.1
stage_eq_003,stage_eq_003,震后评估,震后评估,Scenario,Scenario,,Scenario：震后评估,,,C02,C02,3,3,待复核,4.39
stage_eq_004,stage_eq_004,应急响应,应急响应,Scenario,Scenario,,Scenario：应急响应,EQ_DOC_001；EQ_DOC_004；EQ_DOC_009,CHK_EQ_000001；CHK_EQ_000010；CHK_EQ_000025；CHK_EQ_000026；CHK_EQ_000027,C02,C02,5,5,待复核,5.0
