qa_id,question,expected_answer,query_focus,source_file,review_status
QA_EQ_001,ShakeMap 依赖哪些地震动或场地数据？,ShakeMap 依赖 Finite Fault Model、Vs30 等数据，并输出 PGA、PGV、MMI 等指标。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_002,PAGER 如何利用 ShakeMap 进行快速影响评估？,PAGER 以 ShakeMap 烈度网格为输入之一，结合人口暴露和脆弱性模型估计人员伤亡与经济损失。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_003,xBD 在地震震损识别中有什么用途？,xBD 提供灾前灾后遥感影像和建筑损毁标签，可用于训练震后建筑损毁识别模型。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_004,Copernicus EMS 对灾后遥感制图有什么作用？,Copernicus EMS 提供应急制图产品，可作为灾后影响范围和建筑损毁核验资料。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_005,ALOS-2-BDE 适用于哪类震损分析？,ALOS-2-BDE 利用 SAR 数据支持建筑损坏估计，适合补充光学影像受云层遮挡的场景。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_006,分布式AI地震预警依赖哪些数据？,依赖台站波形数据、MEMS 加速度计等实时观测数据。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_007,Edge-AI CNN 主要解决什么任务？,主要面向边缘侧 P 波起始拾取和快速触发判断。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_008,预警盲区为什么需要复核？,预警盲区与震中附近可用预警时间不足有关，会影响预警系统的实际覆盖。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_009,Hazus 与 OpenQuake 的区别是什么？,Hazus 偏工程损失估计流程，OpenQuake 偏概率地震危险性和风险计算引擎。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_010,Sendai Framework 在图谱中属于什么节点？,属于政策节点，用于应急治理和政策合规映射。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_011,ISO 22320:2018 在图谱中用于什么？,属于标准节点，可支撑应急响应分级和组织协同流程。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_012,数据偏差会影响哪些地震AI任务？,会影响震损识别、风险评估和预警模型跨区域泛化。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_013,标注稀缺对震损识别有什么影响？,会限制监督学习模型训练和中等损伤类别识别效果。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_014,GraphRAG 在本项目中解决什么问题？,用于把实体、关系、证据片段和社区报告组织成可追溯问答图谱。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_015,PGA、PGV、MMI 是什么类型节点？,属于 Metric 指标节点，用于描述 ShakeMap 等产品的地震动或烈度输出。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_016,OpenStreetMap 在地震图谱中有什么作用？,作为建筑物足迹、道路网络和暴露体空间数据来源。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_017,生命线震损风险传播GNN 依赖什么数据？,依赖生命线设施数据、道路网络和地理空间暴露数据。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_018,专家复核表主要检查什么？,检查关系方向、证据片段、置信度和抽取方法是否可靠。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_019,为什么需要归档旧索引？,为了保留重建前的图谱成果，便于版本追溯和回滚核验。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
QA_EQ_020,本轮新增资料如何发布到前端？,生成 public/atlas/atlas_frontend.json 和 public/atlas/index_summary.json，前端直接读取展示。,地震灾害知识图谱,地震灾害数据收集与整理.docx,待复核
