relation_id,head,relation_type,tail,confidence,priority_score,priority_reason,doc_id,chunk_id,expert_status
REL_EQ_000014,分布式AI地震预警,LIMITED_BY,预警盲区,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000015,分布式AI地震预警,LIMITED_BY,通信延迟,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000050,震后建筑损毁识别,LIMITED_BY,光学影像云层遮挡,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000051,震后建筑损毁识别,LIMITED_BY,SAR 影像解释不确定性,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000052,震后建筑损毁识别,LIMITED_BY,中等损伤标签混淆,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000061,遥感震损智能解译,LIMITED_BY,SAR 影像解释不确定性,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000093,政策合规映射,REQUIRED_BY,Sendai Framework,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000094,应急响应分级,REQUIRED_BY,ISO 22320:2018,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000098,地震证据图谱GraphRAG,LIMITED_BY,大模型幻觉风险,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000028,待复核
REL_EQ_000099,地震证据图谱GraphRAG,LIMITED_BY,证据链断裂,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000028,待复核
REL_EQ_000231,地震早期预警,SUPPORTED_BY,证据片段001,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000232,地震早期预警,SUPPORTED_BY,证据片段002,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000233,地震早期预警,SUPPORTED_BY,证据片段003,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000234,分布式AI地震预警,SUPPORTED_BY,证据片段004,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000235,分布式AI地震预警,SUPPORTED_BY,证据片段005,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000236,分布式AI地震预警,SUPPORTED_BY,证据片段006,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000243,分布式AI地震预警,SUPPORTED_BY,证据片段013,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000244,分布式AI地震预警,SUPPORTED_BY,证据片段014,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000245,分布式AI地震预警,SUPPORTED_BY,证据片段015,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000247,地震风险时空预测,SUPPORTED_BY,证据片段017,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000004,待复核
REL_EQ_000249,ShakeMap,SUPPORTED_BY,证据片段019,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000258,PAGER,SUPPORTED_BY,证据片段028,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000263,震后灾情快速评估,SUPPORTED_BY,证据片段033,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000266,震后灾情快速评估,SUPPORTED_BY,证据片段036,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000268,震后建筑损毁识别,SUPPORTED_BY,证据片段038,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
