relation_id,head,relation_type,tail,confidence,priority_score,priority_reason,doc_id,chunk_id,expert_status
REL_EQ_000022,国家地震应急预案,REQUIRED_BY,Sendai Framework,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000135,分布式AI地震预警,SUPPORTED_BY,证据片段001,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000136,分布式AI地震预警,SUPPORTED_BY,证据片段002,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000151,OpenQuake,SUPPORTED_BY,证据片段017,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000154,OpenQuake,SUPPORTED_BY,证据片段020,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
REL_EQ_000155,OpenQuake,SUPPORTED_BY,证据片段021,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
REL_EQ_000156,国家地震应急预案,SUPPORTED_BY,证据片段022,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000166,地震,SUPPORTED_BY,证据片段032,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000167,地震,SUPPORTED_BY,证据片段033,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000004,待复核
REL_EQ_000168,地震,SUPPORTED_BY,证据片段034,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000169,应急响应,SUPPORTED_BY,证据片段035,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000170,应急响应,SUPPORTED_BY,证据片段036,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000171,应急响应,SUPPORTED_BY,证据片段037,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000172,恢复重建,SUPPORTED_BY,证据片段038,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000173,恢复重建,SUPPORTED_BY,证据片段039,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000011,待复核
REL_EQ_000174,灾后复盘,SUPPORTED_BY,证据片段040,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000001,分布式AI地震预警,USES_MODEL,DBSCAN,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000002,分布式AI地震预警,DEPENDS_ON,MEMS 加速度计,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000017,OpenQuake,SOLVES,地震风险评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000020,OpenQuake,HAS_METRIC,MDF,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
