entity_id,name,entity_type,aliases,relation_count,evidence_count,evidence_score,expert_status
tech_seismic_early_warning,地震早期预警,AITech,智能早期预警;ShakeAlert;MyShake;秒级地震预警,99,12,1.0,pending
tech_post_earthquake_damage_cv,震后建筑损毁识别,AITech,建筑损毁识别;计算机视觉损毁评估;卫星震损识别;震损识别,35,5,0.875,pending
tech_remote_sensing_eq_damage,遥感震损智能解译,AITech,遥感智能解译;多源遥感;SAR震损解译;光学遥感震损,28,4,0.7,pending
tech_multimodal_situation,地震多模态灾情理解,AITech,多模态灾情理解;灾情摘要;图文融合;现场报告理解,14,2,0.35,pending
tech_llm_emergency_decision,地震应急辅助决策,AITech,大模型应急辅助决策;LLM应急问答;地震应急问答,43,6,1.0,pending
tech_rl_rescue_dispatch,震后救援调度优化,AITech,强化学习调度优化;RL调度;资源调度优化;路径规划,21,3,0.525,pending
tech_lifeline_gnn,生命线震损风险传播GNN,AITech,生命线风险传播GNN;GNN风险传播;图神经网络;级联风险,43,6,1.0,pending
tech_graphrag_evidence,地震证据图谱GraphRAG,AITech,GraphRAG;知识图谱;证据图谱;证据链问答,363,49,1.0,pending
tech_seismic_risk_prediction,地震风险时空预测,AITech,灾害时空预测;时空预测;震害预测;风险预测,42,6,1.0,pending
tech_rapid_loss_estimation,震后灾情快速评估,AITech,快速灾情评估;损失评估;应急评估;PDNA智能分析,16,2,0.4,pending
model_unet,U-Net,Model,UNet,8,4,0.2,pending
model_transformer,Transformer,Model,Swin Transformer;ViT,8,4,0.2,pending
model_gnn,GNN,Model,图神经网络;Graph Neural Network,12,6,0.3,pending
model_llm,LLM,Model,大语言模型;大模型,15,9,0.375,pending
model_rl,强化学习,Model,PPO;DQN;策略优化,11,6,0.275,pending
model_cnn,CNN,Model,卷积神经网络;计算机视觉模型,10,5,0.25,pending
model_lstm,LSTM,Model,循环神经网络;序列模型,12,6,0.3,pending
model_ml,机器学习,Model,随机森林;梯度提升;深度学习,24,12,0.6,pending
data_seismic_network,地震台网数据,Dataset,波形数据;强震动记录;地震计,36,18,0.9,pending
data_remote_sensing,遥感影像,Dataset,SAR;光学影像;无人机影像,12,6,0.3,pending
data_iot,物联传感器,Dataset,IoT;加速度计;GNSS;智能手机传感器,0,0,0.0,pending
data_social_media,众源文本,Dataset,社交媒体;热线工单;现场报告,16,8,0.4,pending
data_building_footprint,建筑物足迹数据,Dataset,建筑物轮廓;建筑物矢量;building footprint,10,5,0.25,pending
data_lifeline_assets,生命线设施数据,Dataset,道路网络;电力网络;通信基站;critical infrastructure,18,9,0.45,pending
data_disaster_event,灾害事件数据库,Dataset,历史地震记录;地震目录;损失数据库,3,3,0.075,pending
task_earthquake_warning,地震监测预警,Task,预警发布;秒级预警;震相识别,24,12,0.6,pending
task_damage_assessment,建筑损毁评估,Task,损毁评估;震损分级;建筑损毁,22,11,0.55,pending
task_resource_dispatch,震后资源调度,Task,资源调度;队伍调度;路径规划,6,3,0.15,pending
task_evidence_qa,证据链问答,Task,证据问答;应急问答,15,9,0.375,pending
task_lifeline_risk,生命线风险评估,Task,级联风险评估;基础设施风险,12,6,0.3,pending
task_seismic_risk_prediction,震害风险预测,Task,风险预测;烈度预测;损失预测,12,6,0.3,pending
task_situation_summary,灾情态势摘要,Task,灾情摘要;现场态势;多源灾情融合,8,4,0.2,pending
