entity_id,id,name,label,entity_type,type,aliases,description,doc_ids,chunk_ids,community_id,community,evidence_count,relation_count,review_status,score
tech_eq_001,tech_eq_001,地震早期预警,地震早期预警,AITech,AITech,地震预警；早期预警；earthquake early warning,AITech：地震早期预警,EQ_DOC_007,CHK_EQ_000019；CHK_EQ_000020,C01,C01,7,7,待复核,2.0
tech_eq_002,tech_eq_002,震后建筑损毁识别,震后建筑损毁识别,AITech,AITech,建筑震损；建筑损毁；建筑损坏估计；building damage,AITech：震后建筑损毁识别,EQ_DOC_005；EQ_DOC_008,CHK_EQ_000013；CHK_EQ_000022,C01,C01,20,20,待复核,2.0
tech_eq_003,tech_eq_003,遥感震损智能解译,遥感震损智能解译,AITech,AITech,遥感影像解译；遥感震损；震损标签；多源几何特征；SAR 震损,AITech：遥感震损智能解译,EQ_DOC_005,CHK_EQ_000013；CHK_EQ_000014,C01,C01,8,8,待复核,2.0
tech_eq_004,tech_eq_004,地震风险时空预测,地震风险时空预测,AITech,AITech,地震风险评估；地震风险；风险预测；seismic risk,AITech：地震风险时空预测,EQ_DOC_008,CHK_EQ_000024,C01,C01,5,5,待复核,1.0
tech_eq_005,tech_eq_005,震后灾情快速评估,震后灾情快速评估,AITech,AITech,快速影响评估；快速评估；灾情快速评估；impact assessment,AITech：震后灾情快速评估,EQ_DOC_003,CHK_EQ_000007,C01,C01,11,11,待复核,1.0
tech_eq_006,tech_eq_006,地震应急辅助决策,地震应急辅助决策,AITech,AITech,应急响应；应急治理；辅助决策；response coordination,AITech：地震应急辅助决策,EQ_DOC_001；EQ_DOC_004；EQ_DOC_009,CHK_EQ_000001；CHK_EQ_000010；CHK_EQ_000025；CHK_EQ_000026；CHK_EQ_000027,C01,C01,9,9,待复核,5.0
tech_eq_007,tech_eq_007,生命线震损风险传播GNN,生命线震损风险传播GNN,AITech,AITech,生命线震损风险传播；生命线系统韧性；生命线韧性；GNN；图神经网络,AITech：生命线震损风险传播GNN,EQ_DOC_006；EQ_DOC_010,CHK_EQ_000016；CHK_EQ_000029,C01,C01,8,8,待复核,2.0
tech_eq_008,tech_eq_008,震后救援调度优化,震后救援调度优化,AITech,AITech,救援调度；物资调度；路径规划；救援路径；relief allocation,AITech：震后救援调度优化,,,C01,C01,1,1,待复核,1.69
tech_eq_009,tech_eq_009,地震证据图谱GraphRAG,地震证据图谱GraphRAG,AITech,AITech,GraphRAG；知识图谱；证据图谱；证据链问答,AITech：地震证据图谱GraphRAG,EQ_DOC_001；EQ_DOC_010,CHK_EQ_000001；CHK_EQ_000002；CHK_EQ_000003；CHK_EQ_000028；CHK_EQ_000030；CHK_EQ_000031,C01,C01,7,7,待复核,6.0
tech_eq_010,tech_eq_010,数字孪生城市地震风险模拟,数字孪生城市地震风险模拟,AITech,AITech,数字孪生；城市地震风险；风险模拟；loss simulation,AITech：数字孪生城市地震风险模拟,EQ_DOC_008,CHK_EQ_000024,C01,C01,5,5,待复核,1.0
