doc_id,title,source_type,source_name,source_url,year,region,disaster_type,path,body_chars,has_source_url,quality_status,curation_note
case_afghanistan_earthquake_2023,Afghanistan earthquake 2023 disaster case,case,ReliefWeb,https://reliefweb.int/disaster/eq-2023-000184-afg,2023,Afghanistan,地震,data\corpus\sample\case_afghanistan_earthquake_2023.md,476,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
case_haiti_earthquake,Haiti earthquake recovery and damage assessment case,case,World Bank,https://www.worldbank.org/en/country/haiti/brief/haiti-earthquake-recovery,2010,Haiti,地震,data\corpus\sample\case_haiti_earthquake.md,467,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
case_morocco_earthquake,Morocco earthquake 2023 disaster case,case,ReliefWeb,https://reliefweb.int/disaster/eq-2023-000166-mar,2023,Morocco,地震,data\corpus\sample\case_morocco_earthquake.md,464,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
case_nepal_earthquake_pdna,Nepal earthquake 2015 post disaster needs assessment,case,ReliefWeb,https://reliefweb.int/report/nepal/nepal-earthquake-2015-post-disaster-needs-assessment-vol-b-sector-reports,2015,Nepal,地震,data\corpus\sample\case_nepal_earthquake_pdna.md,480,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
case_noto_earthquake,Japan Noto Peninsula earthquake 2024 case,case,ReliefWeb,https://reliefweb.int/disaster/eq-2024-000001-jpn,2024,Japan,地震,data\corpus\sample\case_noto_earthquake.md,474,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
case_turkiye_rdna,Turkiye earthquakes recovery and reconstruction assessment,case,GFDRR,https://www.gfdrr.org/en/publication/turkiye-earthquakes-2023,2023,Turkiye,地震,data\corpus\sample\case_turkiye_rdna.md,504,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
case_turkiye_syria_earthquake,Turkiye Syria earthquake 2023 disaster case,case,ReliefWeb,https://reliefweb.int/disaster/eq-2023-000015-tur,2023,Turkiye,地震,data\corpus\sample\case_turkiye_syria_earthquake.md,468,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
paper_ai_emergency_qa,Large language models for earthquake emergency knowledge assistance,paper,GFDRR,https://www.gfdrr.org/en/publication/responsible-artificial-intelligence-disaster-risk-management,2020,global,地震,data\corpus\sample\paper_ai_emergency_qa.md,491,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
paper_bddnet_damage,BDD-Net building damage detection from satellite imagery,paper,Remote Sensing,https://www.mdpi.com/2072-4292/12/10/1670,2020,global,地震,data\corpus\sample\paper_bddnet_damage.md,496,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
paper_lifeline_resilience,Lifeline infrastructure resilience after earthquake shocks,paper,World Bank and GFDRR,https://www.gfdrr.org/en/publication/lifelines-opportunity-resilient-infrastructure,2019,global,地震,data\corpus\sample\paper_lifeline_resilience.md,514,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
