relation_id,source,target,source_id,target_id,head_id,tail_id,head,tail,head_name,tail_name,head_type,tail_type,relation_type,relation_label,confidence,doc_id,chunk_id,source_name,source_file,evidence_text,extraction_method,expert_status,review_status
REL_EQ_000001,tech_eq_001,stage_eq_002,tech_eq_001,stage_eq_002,tech_eq_001,stage_eq_002,地震早期预警,震时预警,地震早期预警,震时预警,AITech,Scenario,SERVES_STAGE,SERVES_STAGE（服务阶段）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫...",规则抽取,待复核,待复核
REL_EQ_000002,tech_eq_001,task_eq_002,tech_eq_001,task_eq_002,tech_eq_001,task_eq_002,地震早期预警,地震监测预警,地震早期预警,地震监测预警,AITech,Task,SOLVES,SOLVES（解决任务）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫...",规则抽取,待复核,待复核
REL_EQ_000003,tech_eq_001,data_eq_015,tech_eq_001,data_eq_015,tech_eq_001,data_eq_015,地震早期预警,台站波形数据,地震早期预警,台站波形数据,AITech,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫...",规则抽取,待复核,待复核
REL_EQ_000004,tech_eq_011,task_eq_002,tech_eq_011,task_eq_002,tech_eq_011,task_eq_002,分布式AI地震预警,地震监测预警,分布式AI地震预警,地震监测预警,AITech,Task,SOLVES,SOLVES（解决任务）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",规则抽取,待复核,待复核
REL_EQ_000005,tech_eq_011,stage_eq_002,tech_eq_011,stage_eq_002,tech_eq_011,stage_eq_002,分布式AI地震预警,震时预警,分布式AI地震预警,震时预警,AITech,Scenario,SERVES_STAGE,SERVES_STAGE（服务阶段）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",规则抽取,待复核,待复核
REL_EQ_000006,tech_eq_011,model_eq_012,tech_eq_011,model_eq_012,tech_eq_011,model_eq_012,分布式AI地震预警,Edge-AI CNN,分布式AI地震预警,Edge-AI CNN,AITech,Model,USES_MODEL,USES_MODEL（采用模型）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",规则抽取,待复核,待复核
REL_EQ_000007,tech_eq_011,model_eq_013,tech_eq_011,model_eq_013,tech_eq_011,model_eq_013,分布式AI地震预警,PhaseNet,分布式AI地震预警,PhaseNet,AITech,Model,USES_MODEL,USES_MODEL（采用模型）,0.75,EQ_DOC_007,CHK_EQ_000020,分布式AI地震预警,地震灾害数据收集与整理.docx,...化的超轻量级卷机神经网络（CNN），仅含 物理模型权重参数；专攻 2 秒短时波形的高速 P-Wave 起始Picking [72] | 与 PhaseNet、EQTransformer 在高信噪比表现上相当；对微地震波定位精度保持在极高水准 [72] | 在低成本嵌入式 Raspberry Pi 等硬件上，单次波形前向计算耗时低于 [72] | 部署于低功耗 MEMS 边缘传感器（如 Raspberry Shake 社区网络边缘节,规则抽取,待复核,待复核
REL_EQ_000008,tech_eq_011,model_eq_014,tech_eq_011,model_eq_014,tech_eq_011,model_eq_014,分布式AI地震预警,EQTransformer,分布式AI地震预警,EQTransformer,AITech,Model,USES_MODEL,USES_MODEL（采用模型）,0.75,EQ_DOC_007,CHK_EQ_000020,分布式AI地震预警,地震灾害数据收集与整理.docx,...经网络（CNN），仅含 物理模型权重参数；专攻 2 秒短时波形的高速 P-Wave 起始Picking [72] | 与 PhaseNet、EQTransformer 在高信噪比表现上相当；对微地震波定位精度保持在极高水准 [72] | 在低成本嵌入式 Raspberry Pi 等硬件上，单次波形前向计算耗时低于 [72] | 部署于低功耗 MEMS 边缘传感器（如 Raspberry Shake 社区网络边缘节点）；完美支持纯分,规则抽取,待复核,待复核
REL_EQ_000009,tech_eq_011,model_eq_017,tech_eq_011,model_eq_017,tech_eq_011,model_eq_017,分布式AI地震预警,QuakeWake,分布式AI地震预警,QuakeWake,AITech,Model,USES_MODEL,USES_MODEL（采用模型）,0.75,EQ_DOC_007,CHK_EQ_000020,分布式AI地震预警,地震灾害数据收集与整理.docx,...流及计算Latency响应表现 | 传感器源依赖与边缘部署环境特征 | | --- | --- | --- | --- | --- | | QuakeWake 系统 [75] | 双阶段架构：本地端微型神经网络实时监控，云端采用深度神经网络模块进行全局烈度及波路径传播动态演化分析 [75] | 地震动识别及方向传播预测准确度高达 [75] | 本地微内核秒级即时响应；终端不消耗电池；附加的 Raspberry Pi adjunct,规则抽取,待复核,待复核
REL_EQ_000010,tech_eq_011,model_eq_018,tech_eq_011,model_eq_018,tech_eq_011,model_eq_018,分布式AI地震预警,E3WS,分布式AI地震预警,E3WS,AITech,Model,USES_MODEL,USES_MODEL（采用模型）,0.9,EQ_DOC_007,CHK_EQ_000020,分布式AI地震预警,地震灾害数据收集与整理.docx,...] | 部署于低功耗 MEMS 边缘传感器（如 Raspberry Shake 社区网络边缘节点）；完美支持纯分布式计算 [72] | | AI-Powered EEWS (印度) [79] | 端到端混合深度神经网络，包含深度一维 CNN、循环神经网络（RNN）及多层感知机（MLP）特征层 [79] | 在庞大验证数据集上达到 的综合分类精确度 [79] | 实测毫秒级超低前向推理时间，为在破坏性破坏剪切 S-Wave 到达前赢,规则抽取,待复核,待复核
