"file","title","source","license","artist"
"fire_01.jpg","File:APOYAMOS CON CISTERNAS PARA CONTROLAR INCENDIO EN EL CENTRO DE LIMA - 54366834452.jpg","https://commons.wikimedia.org/wiki/File:APOYAMOS_CON_CISTERNAS_PARA_CONTROLAR_INCENDIO_EN_EL_CENTRO_DE_LIMA_-_54366834452.jpg","Public domain","GORE Callao"
"fire_02.jpg","File:Commercial Hotel in Chinchilla ablaze on 25 August, 1922 (8736263827).jpg","https://commons.wikimedia.org/wiki/File:Commercial_Hotel_in_Chinchilla_ablaze_on_25_August,_1922_(8736263827).jpg","No restrictions"," State Library of Queensland, Australia "
"fire_03.jpg","File:Damage on Midway burning building.jpg","https://commons.wikimedia.org/wiki/File:Damage_on_Midway_burning_building.jpg","Public domain","Cdr. John Ford, USNR"
"fire_04.jpg","File:Finnish soldiers awaiting Soviet counter-attack, 20 August, 1941.jpg","https://commons.wikimedia.org/wiki/File:Finnish_soldiers_awaiting_Soviet_counter-attack,_20_August,_1941.jpg","Public domain","T. Nousiainen"
"fire_05.jpg","File:Fire Brigade rescue trapped office workers, n.d. by Sam Hood (5939231444).jpg","https://commons.wikimedia.org/wiki/File:Fire_Brigade_rescue_trapped_office_workers,_n.d._by_Sam_Hood_(5939231444).jpg","Public domain","Photographed by Sam Hood"
"fire_06.jpg","File:Fire on thatched roof (3608428082).jpg","https://commons.wikimedia.org/wiki/File:Fire_on_thatched_roof_(3608428082).jpg","No restrictions"," The Field Museum Library "
"fire_07.jpg","File:German troops moving through a burning village on the eastern front. (45898896435).jpg","https://commons.wikimedia.org/wiki/File:German_troops_moving_through_a_burning_village_on_the_eastern_front._(45898896435).jpg","CC BY 2.0"," Julius Jääskeläinen "
"fire_08.jpg","File:House fire using gasoline.jpg","https://commons.wikimedia.org/wiki/File:House_fire_using_gasoline.jpg","CC BY-SA 3.0"," Kpahor "
"fire_09.jpg","File:Incendio en el Centro comercial La Boyera 2013 000.JPG","https://commons.wikimedia.org/wiki/File:Incendio_en_el_Centro_comercial_La_Boyera_2013_000.JPG","CC BY-SA 3.0"," Veronidae "
"fire_10.jpg","File:Incendio en el Centro comercial La Boyera 2013 001.JPG","https://commons.wikimedia.org/wiki/File:Incendio_en_el_Centro_comercial_La_Boyera_2013_001.JPG","CC BY-SA 3.0"," Veronidae "
