record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0001,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,秣陵路,3,blocked,从长安路到民立路,335,10,5127,"121.453285,31.2478924;121.453636,31.2477474;121.454445,31.2474308;121.455254,31.2471027;121.455536,31.2469959;121.455696,31.2469425"
TR0002,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,秣陵路,3,blocked,从梅园路到民立路,192,5,-5127,"121.45723,31.2474003;121.456314,31.2475872;121.456116,31.2476444;121.45594,31.2476978;121.455505,31.2470837"
TR0003,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,南京西路,3,blocked,从黄陂北路到九江路,56,5,3808,"121.470161,31.2310791;121.470345,31.2311554;121.470474,31.2312317;121.470558,31.2312927;121.470634,31.2313519;121.470657,31.2313862;121.470863,31.2317562;121.470917,31.2319469;121.471024,31.232235;121.471092,31.2323685;121.471138,31.2324486;121.471161,31.2324886;121.471451,31.2328663;121.471573,31.233017;121.471695,31.2331429;121.471893,31.2333374"
TR0004,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,南北高架路,2,congested,从共和新路立交桥到天目中路立交桥,268,20,-43,"121.463219,31.2582531;121.463333,31.2579594;121.463478,31.2575283;121.463531,31.2573109;121.463562,31.2571335;121.463608,31.2568493;121.463623,31.2556839;121.463661,31.2547474;121.463699,31.2536354;121.463699,31.2533607;121.463699,31.2530403;121.463699,31.2526798;121.463676,31.252285;121.463646,31.2518711;121.463608,31.2515202;121.463539,31.2508526;121.46347,31.2503376;121.463379,31.249752;121.463318,31.2494621;121.463165,31.2487564;121.46302,31.2481022;121.462967,31.247858;121.462814,31.2471294;121.462753,31.2468929;121.462418,31.2453556;121.46225,31.2444935;121.462204,31.2440929;121.462219,31.2434578;121.462296,31.2430172;121.462364,31.2427387;121.462425,31.2425594;121.462685,31.2418976;121.462669,31.2417202"
TR0005,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,武宁路,2,congested,从中宁路到中山北路,325,20,704,"121.413094,31.2452316;121.413475,31.2451324;121.413956,31.244978;121.414688,31.2447071;121.415215,31.2444706;121.415497,31.2443333;121.415985,31.244072;121.416573,31.2437191;121.417122,31.2433071;121.417358,31.2431202;121.417618,31.2429333;121.41787,31.242733;121.41861,31.2421417;121.419067,31.2417965;121.419182,31.2416973;121.419243,31.241663;121.419395,31.2415638"
TR0006,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,沪太路,2,congested,从延长中路到恒丰路立交桥,303,25,"-792,-791","121.444145,31.2654934;121.444427,31.2651062;121.445457,31.263773;121.445732,31.2634354;121.445923,31.263195;121.447144,31.261591;121.447273,31.2613907;121.447433,31.2611828;121.447784,31.2607327;121.448265,31.2600937;121.448708,31.2594986;121.449059,31.2590351;121.449516,31.25844;121.449669,31.2582493;121.449799,31.2581158;121.449875,31.2579861;121.449959,31.257822;121.450012,31.2577076;121.450127,31.2575016;121.450417,31.2570438;121.450851,31.2564392;121.450943,31.2563248;121.451042,31.2562046;121.451149,31.2560806;121.451332,31.2559109;121.45179,31.2555504;121.451988,31.2553997;121.45208,31.2553558"
TR0007,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,宁夏路,2,congested,中山北路附近,350,16,781,"121.410416,31.231142;121.410667,31.2311058"
TR0008,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,潮州路,2,congested,从曹杨路到真华路,17,25,"1841,1842","121.404945,31.2582302;121.405029,31.2582035;121.40519,31.2581825;121.405373,31.2581692;121.405663,31.258152;121.405968,31.258152;121.406113,31.2581596;121.406273,31.2581921;121.406418,31.2582397;121.4067,31.2583427;121.40699,31.2584839;121.408012,31.2589378;121.408211,31.2590275;121.40863,31.2592125;121.408768,31.2592716;121.408821,31.2593021"
TR0009,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,天目西路,2,congested,从长安路到恒丰路,9,15,192,"121.451607,31.2454891;121.453651,31.2457771;121.453728,31.2457905"
TR0010,2026-06-22T21:31:15,"121.439175,31.235771",3000,5,秣陵路：双向缓慢，从长安路到民立路严重拥堵，从梅园路到民立路严重拥堵；南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；武宁路：从中宁路到中山北路行驶缓慢；沪太路：恒丰北路立交桥附近自北向南行驶缓慢；潮州路：自西向东缓慢，反向畅通；天目西路：外贸锦程大厦附近自西向东行驶缓慢；镇宁路：自北向南缓慢，从华山路到延安西路行驶缓慢；西康路：从宜昌路到长寿路行驶缓慢；镇坪路：自南向北缓慢，反向畅通；铜仁路：自南向北缓慢，反向畅通；长安路：从秣陵路到恒丰路行驶缓慢；民立路：从共和路到天目西路行驶缓慢。,2,轻度拥堵,73.40%,3.69%,0.74%,22.17%,秣陵路,2,congested,从大统路到梅园路,184,20,-5128,"121.46019,31.2476177;121.459831,31.2476311;121.459595,31.2476616;121.459435,31.2476749;121.458992,31.2476978;121.458595,31.2477112;121.458237,31.2477112;121.457901,31.2477016;121.457718,31.2476845;121.457581,31.2476482;121.457497,31.2476082;121.457405,31.247551;121.457207,31.2473965"
